id;first_name;last_name;numero_securite_sociale;qualification;taux_imposition
1;Camélien;Rey;Account SoftXXX;port innovative;71697
2;Thaïs;Lefevre;Granite leading;interfaces override;83938
3;Angélina;Bernard;BretagneXXXXXXX;Solférino;71090
4;Chrysole;Vidal;backingXXXXXXXX;Berkshire indigo;15436
5;Anatolie;Huet;connecting aXXX;Granite;94809
6;Anselme;Vincent;infrastructures;open-source;18581
7;Gaspar;Fabre;portals cXXXXXX;Concrete Account;15970
8;Fulbert;Roy;SausagesXXXXXXX;Oman Chat-qui-Pêche infrastructures;422
9;Ansberte;Colin;Cambridgeshire ;magenta;69929
10;Salomé;Mercier;invoice white e;microchip;21874
